service,src_bytes,count,srv_count,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate
eco_i,2000,172,172,0.005813953488372093,125,125,0.008,0
eco_i,2000,172,172,0.005813953488372093,125,125,0.008,0
eco_i,2016,173,173,0.005780346820809248,126,126,0.007936507936507936,0
eco_i,2016,173,173,0.005780346820809248,126,126,0.007936507936507936,0
eco_i,2032,174,174,0.005747126436781609,127,127,0.007874015748031496,0
eco_i,2032,174,174,0.005747126436781609,127,127,0.007874015748031496,0
eco_i,2048,175,175,0.005714285714285714,128,128,0.0078125,0
eco_i,2048,175,175,0.005714285714285714,128,128,0.0078125,0
eco_i,2064,176,176,0.005681818181818182,129,129,0.007751937984496124,0
eco_i,2064,176,176,0.005681818181818182,129,129,0.007751937984496124,0
eco_i,2080,177,177,0.005649717514124294,130,130,0.007692307692307693,0
eco_i,2080,177,177,0.005649717514124294,130,130,0.007692307692307693,0
eco_i,2096,178,178,0.0056179775280898875,131,131,0.007633587786259542,0
eco_i,2096,178,178,0.0056179775280898875,131,131,0.007633587786259542,0
eco_i,2112,179,179,0.00558659217877095,132,132,0.007575757575757576,0
eco_i,2112,179,179,0.00558659217877095,132,132,0.007575757575757576,0
eco_i,2128,180,180,0.005555555555555556,133,133,0.007518796992481203,0
eco_i,2128,180,180,0.005555555555555556,133,133,0.007518796992481203,0
eco_i,2144,181,181,0.0055248618784530384,134,134,0.007462686567164179,0
eco_i,2144,181,181,0.0055248618784530384,134,134,0.007462686567164179,0
eco_i,2160,182,182,0.005494505494505495,135,135,0.007407407407407408,0
eco_i,2160,182,182,0.005494505494505495,135,135,0.007407407407407408,0
eco_i,2176,183,183,0.00546448087431694,136,136,0.007352941176470588,0
eco_i,2176,183,183,0.00546448087431694,136,136,0.007352941176470588,0
eco_i,2192,184,184,0.005434782608695652,137,137,0.0072992700729927005,0
eco_i,2192,184,184,0.005434782608695652,137,137,0.0072992700729927005,0
eco_i,2208,185,185,0.005405405405405406,138,138,0.007246376811594203,0
eco_i,2208,185,185,0.005405405405405406,138,138,0.007246376811594203,0
eco_i,2224,186,186,0.005376344086021506,139,139,0.007194244604316547,0
eco_i,2224,186,186,0.005376344086021506,139,139,0.007194244604316547,0
eco_i,2240,187,187,0.0053475935828877,140,140,0.007142857142857143,0
eco_i,2240,187,187,0.0053475935828877,140,140,0.007142857142857143,0
eco_i,2256,188,188,0.005319148936170213,141,141,0.0070921985815602835,0
eco_i,2256,188,188,0.005319148936170213,141,141,0.0070921985815602835,0
eco_i,2272,189,189,0.005291005291005291,142,142,0.007042253521126761,0
eco_i,2272,189,189,0.005291005291005291,142,142,0.007042253521126761,0
eco_i,2288,190,190,0.005263157894736842,143,143,0.006993006993006993,0
eco_i,2288,190,190,0.005263157894736842,143,143,0.006993006993006993,0
eco_i,2304,191,191,0.005235602094240838,144,144,0.006944444444444444,0
eco_i,2304,191,191,0.005235602094240838,144,144,0.006944444444444444,0
eco_i,2320,192,192,0.005208333333333333,145,145,0.006896551724137931,0
eco_i,2320,192,192,0.005208333333333333,145,145,0.006896551724137931,0
eco_i,2336,193,193,0.0051813471502590676,146,146,0.00684931506849315,0
eco_i,2336,193,193,0.0051813471502590676,146,146,0.00684931506849315,0
eco_i,2352,194,194,0.005154639175257732,147,147,0.006802721088435374,0
eco_i,2352,194,194,0.005154639175257732,147,147,0.006802721088435374,0
eco_i,2368,195,195,0.005128205128205128,148,148,0.006756756756756757,0
eco_i,2368,195,195,0.005128205128205128,148,148,0.006756756756756757,0
eco_i,2384,196,196,0.00510204081632653,149,149,0.006711409395973154,0
eco_i,2384,196,196,0.00510204081632653,149,149,0.006711409395973154,0
eco_i,2400,197,197,0.005076142131979695,150,150,0.006666666666666667,0
eco_i,2400,197,197,0.005076142131979695,150,150,0.006666666666666667,0
eco_i,2416,198,198,0.005050505050505051,151,151,0.006622516556291391,0
eco_i,2416,198,198,0.005050505050505051,151,151,0.006622516556291391,0
